customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Actual_Churn,Predicted_Churn,Churn_Probability,Actual_Churn_Label,Predicted_Churn_Label,Risk_Segment,Prediction_Result,Error_Type,Tenure_Group,Charge_Bucket,Annual_Revenue,Customer_Lifetime_Value
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0,0.006571667,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$0-30,358.20000000000005,29.85
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,1,0.8694701,Retained,Churned,High Risk,Incorrect,False Positive,2-4 Years,$30-60,683.4000000000001,1936.3000000000002
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0,0,0.07598423,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$30-60,646.2,107.7
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,0,0.38834292,Retained,Retained,Medium Risk,Correct,True Negative,2-4 Years,$30-60,507.59999999999997,1903.4999999999998
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0,0,0.0028019873,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$60-90,848.4000000000001,141.4
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0,1,0.6038258,Retained,Churned,High Risk,Incorrect,False Positive,0-1 Year,$90+,1195.8000000000002,797.2
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,1,0.553475,Retained,Churned,Medium Risk,Incorrect,False Positive,1-2 Years,$60-90,1069.1999999999998,1960.1999999999998
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0,0.103020616,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$0-30,357.0,297.5
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,0,0,0.012717499,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$90+,1257.6,2934.4
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,1,0,0.33968577,Churned,Retained,Medium Risk,Incorrect,False Negative,4-6 Years,$30-60,673.8,3481.2999999999997
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,0,0.27894685,Retained,Retained,Low Risk,Correct,True Negative,1-2 Years,$30-60,599.4000000000001,649.35
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,0,0.0071687764,Retained,Retained,Low Risk,Correct,True Negative,1-2 Years,$0-30,227.39999999999998,303.2
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,0,0.18718761,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1204.1999999999998,5820.299999999999
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,1,0.76516694,Churned,Churned,High Risk,Correct,True Positive,4-6 Years,$90+,1244.4,5081.3
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,0,0.14343777,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$90+,1266.0,2637.5
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,0,0.00915708,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1359.0,7814.25
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0,0.010463861,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$0-30,247.79999999999998,1073.8
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,1,0.67153513,Retained,Churned,High Risk,Incorrect,False Positive,4-6 Years,$90+,1280.4,7575.7
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0,0,0.28780088,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$30-60,662.4000000000001,552.0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,0,0.06858096,Retained,Retained,Low Risk,Correct,True Negative,1-2 Years,$90+,1080.6,1891.05
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,1,0.75256157,Churned,Churned,High Risk,Correct,True Positive,0-1 Year,$30-60,475.79999999999995,39.65
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0,0.2774269,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$0-30,237.60000000000002,237.60000000000002
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0,0,0.012347509,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$0-30,241.79999999999998,20.15
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,0,0.03190464,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$30-60,718.8,3474.2
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,0,0.16657256,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$30-60,715.2,2920.4
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,0,0.22897427,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$30-60,663.5999999999999,1659.0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,0,0.36942977,Churned,Retained,Medium Risk,Incorrect,False Negative,2-4 Years,$90+,1192.1999999999998,4669.45
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,0.74841595,Churned,Churned,High Risk,Correct,True Positive,0-1 Year,$30-60,362.4,30.2
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,0,0.031106435,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1083.0,6498.0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,1,0.7026939,Churned,Churned,High Risk,Correct,True Positive,1-2 Years,$60-90,776.4000000000001,1099.9
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,0,0.49125785,Retained,Retained,Medium Risk,Correct,True Negative,4-6 Years,$90+,1156.1999999999998,6840.849999999999
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,1,0.55768806,Retained,Churned,Medium Risk,Incorrect,False Positive,0-1 Year,$90+,1146.0,191.0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,0,0.006342145,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$60-90,793.8000000000001,1786.0500000000002
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0,0.009169336,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$0-30,242.39999999999998,20.2
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,1,1,0.75937504,Churned,Churned,High Risk,Correct,True Positive,0-1 Year,$30-60,543.0,45.25
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,0,0.16231586,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1198.8000000000002,7192.8
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0,0.45496944,Churned,Retained,Medium Risk,Incorrect,False Negative,0-1 Year,$60-90,836.4000000000001,348.5
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,0,0.003531034,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$60-90,897.5999999999999,3440.7999999999997
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,1,0.87672216,Churned,Churned,High Risk,Correct,True Positive,2-4 Years,$90+,1276.1999999999998,3615.8999999999996
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0,0.16061974,Churned,Retained,Low Risk,Incorrect,False Negative,0-1 Year,$90+,1174.1999999999998,1076.35
